Name,Score
Brittany Dawson,72
James Ware,57
Cody Olson,84
Shannon Kelly,63
Javier Pace,88
Matthew Nichols,60
Colleen Valdez,83
Michelle Oconnell,67
Tracey Price,73
Daniel Duke,73
Alicia Brooks,92
Alexander David,83
Daniel Henderson,84
Stacey Carney,73
Felicia Ellis,73
Brian Wells,77
Matthew Smith,57
Michael Miles,83
Austin Henry,57
Jeremy Molina,69
Jillian Cox,92
Jeremy Johnson,85
Andrew Griffith,58
Tommy Gutierrez,58
Dr. Jennifer Richardson,92
Sylvia Duran,90
Jessica Johnson,81
Mr. Brandon Gonzalez,87
Thomas Powers,56
Michael Harrison,85
Nicholas Castro,58
Brian Morton,87
Matthew Stokes,51
Briana Riley,82
David Bowen,89
Michelle Glover,72
Carol Herman,58
Nicole Cuevas,97
James Johnson,90
Rachel Riddle,53
Emily Anderson,91
Rebecca Peck,53
Joshua Patel MD,93
Mr. Michael Campbell,91
Brett Coleman,81
David Dunn,51
Jordan Sherman,89
Willie Mercado,88
Matthew Davis,94
Kristi Johnston,57
Francisco Ray,90
Ellen Simpson,64
Caitlin Bond,93
Michael Graham,79
Susan Compton,90
Linda Alexander,90
Casey Phillips,77
Jimmy Miller,72
Daisy Gilmore MD,60
Michael Melendez,95
Andrew Carpenter,91
Meghan Wood,74
Francisco Campbell,93
Benjamin Hall,75
Susan Dickerson,69
Laura Gonzalez,53
Stephanie Gregory,67
Deborah Newman,86
Dylan Smith,100
Jennifer Stewart,73
Victoria Marks,95
Susan Lloyd,75
Richard Hess,56
Jeffrey Walker,80
Anthony Herrera,72
Phyllis Taylor,63
John Lopez,64
Jade Lamb,51
Rickey Powers,71
Rebecca Solis,63
Kristy Wilson,94
Anthony Cabrera,92
Allison Torres,69
Melanie Ballard,53
Emily Andrews,96
Juan Tran,82
Bryan Thomas,76
Daniel Brown,72
Kimberly Perez,89
Shelley Mitchell,62
Randall Cook,66
Mario Lee,58
Dominique Murphy,83
Barbara Vang,97
Jamie Mayo,75
Krista Ruiz,61
Renee Lowe,88
Jennifer Avila,94
Mary Hayes,100
Kevin Martin,69
Lance Robertson,85
Emily Evans,71
Tina Ashley,75
Clayton Stevens,97
Nicholas Sanchez,89
Caleb Peterson,73
Thomas Anderson,86
Johnny Bell,60
Peter Fuller,80
Christopher Brown,64
John Blankenship,100
Anne Chen,50
Christina Rhodes,68
Jon Williams,52
Sean Peterson,65
Jacob Jackson,83
Sean Leach,96
Robert Davis,73
Christopher Smith,59
Makayla Wolfe,92
Yolanda Brown,100
David Reynolds,73
Michael Wade,84
Sandy Garcia,97
Kimberly Caldwell,100
Melanie Higgins,58
Mike Johnson,100
Justin Garcia,84
Alyssa Houston,70
Jodi Johnson,66
Jerry Bauer,65
Frank Bradshaw,75
Darlene Sherman,85
Timothy Johnson,67
Jacqueline Lucas,59
Mason Jones,95
Victoria Gray,97
Tina Fletcher,88
Meghan Edwards,81
Kristen May,69
Pamela Calhoun,67
Debra Williams,95
Deborah Walter,79
Teresa Gonzalez,74
Kevin Adams,70
Jessica Lee,90
Nicole Johnson,73
Sabrina Jordan,69
Michael Hicks,55
Michael Williamson,82
Brianna Adams,75
Jodi Coleman,84
Christopher Brown,78
Derrick Miller,51
Charles Brown,86
Cheryl Williams,93
James Eaton,56
Yolanda Mejia,66
Eric Berg,89
Anne Mills,77
Tina Parker,86
Donna Chavez,69
Christopher Nicholson,66
Mary Brock,94
Ryan Hill,56
Dustin Wallace,57
Jillian Jackson,71
Michael Marquez,51
William Harrell,90
Shannon Mckee,85
Lisa Mitchell,89
Jennifer Moran,51
Madeline Brown,94
Alexander Gross,95
Jose Jones,87
Joshua Reese,63
Ethan Clements,92
Russell Rhodes,53
Wyatt Harris,79
Miss Cheryl Zimmerman,72
Maria Carlson,56
Christopher Thompson,93
Danny Johnson,66
Madison Rivera,80
Nicole Kline,86
Casey Harrison,51
Sylvia Chambers,96
Sandra Smith,57
Jacqueline Poole,76
David Chan,62
Jessica Ellis,52
Leslie Cox,52
Aaron Coffey,63
Kara Mcclure,69
Dr. Jill Wilkinson,77
Ricky Mata MD,55
April Berry,83
Maurice Grimes,91
Patricia Gross,51
Vanessa Rodgers,58
Debra Burke,77
Melissa Martin,57
Rebecca White,79
Mark Price,67
Amy Frederick,53
Ellen Murray,75
Kelsey Horton,88
Yolanda Mcintyre,93
Olivia Sweeney,94
Louis Benson,76
Debra Proctor,97
Stephanie Whitehead,95
Annette Adams,95
Jose Washington,92
Olivia Miller,89
Kevin Williams,50
Aaron Wu,96
Gina Choi,93
Antonio Hoffman,59
Katrina Williams,69
Tammy Jordan,60
Krista Parker,78
Jeffrey Greene,53
Derrick Callahan,74
Edward Fisher,91
Kevin Gutierrez,57
Barbara Mitchell,69
Melissa Johnson,85
Heather Phillips,77
John Frederick,57
Robert Meyer,80
Shannon Richard,55
Amy Hebert,89
Ashley Mills,93
Jeremy Schneider,86
Melissa Evans,68
Alfred Weaver,55
Darrell Pierce,67
Dr. Paul Turner,59
James Martinez,59
Craig Nelson,80
Catherine Williamson,96
Christopher Walton,71
Ryan Barrera,52
Melissa Hopkins,89
Katie Evans,68
Angela Roberson,76
Brandon Robinson,60
Dwayne Fowler,51
Trevor Goodwin,89
Courtney King,66
Laura Sherman,76
Lori Hurley,63
Marissa Weber,51
David Richard,55
Devin Tran,82
Nicole Johnson,77
David Mckinney,80
Chelsea Bowen,75
William Johnson,72
Julie King,86
Devin Collier,90
Michael Perez,84
Craig Navarro,51
Keith Miller,51
Jerry Galvan,60
Jorge Rodriguez,70
Jason Crawford,72
Shannon Roach,71
Nicole Mccarthy DVM,98
Ronald Dean,69
Charles Garcia,74
Michelle Cuevas,59
Emma Davenport,81
Nathan Price,57
Jessica Perez,61
Michael Beard,80
Danielle Henderson,84
Derek Rodriguez,77
Vincent Choi,57
Thomas Carrillo,90
William Ruiz,59
Dr. Kelly Taylor Jr.,86
Michael Mills,67
Julie Yates,67
Carl Jackson,62
Kimberly Hughes,65
Tanya Carlson,82
Clifford Knight,91
Amber Garrett,72
James Carlson,65
Mary Barajas,68
Amanda Goodwin,91
Kelli Rocha,76
Larry Willis,78
Monica Gonzalez,98
Stephanie Lindsey,68
Russell Cochran,55
Kimberly Evans,54
Jason Anderson,75
Michelle Morales,71
John Wright,68
Tonya Jones,79
Lisa Martin,80
Paul Lopez,85
John Lane,86
Jamie Taylor,96
Laura Morrison,85
Emily Nguyen,62
Erica Weber,75
Becky Hicks,88
Molly Perez,54
Dawn Frank,75
Diana Colon,88
Travis Nelson,99
Sierra Allen,71
Shawn Frank,66
Jason Rodriguez,83
Richard Medina,82
Katie Martinez,52
Emily Stein,77
Mary Hayes,98
Jesse Harper,85
Brianna Hale,60
Ann Miranda,52
Mary Cruz,78
Carrie Walker,99
David Mitchell,89
Andrew Novak,59
Joshua Lee,53
Jennifer Henson,98
Ryan Scott,80
Jeffrey Keller,57
Tina Ward,72
Alicia Porter,50
Karen Cooley,80
Brian Nichols,57
Kevin Aguilar,59
Jamie Evans,72
Katie French,62
Zachary Austin,52
Sydney Parker,59
Gregory Johnson,88
Sergio Burton,60
Hunter Thomas Jr.,84
Cheryl Harrison,79
Paul Rogers,98
Blake Kramer,85
William Hernandez,65
Kimberly Meyer,63
Andrew Smith,69
Jacob White,76
Christopher Fletcher,92
Natalie James,63
Angelica Shaw,53
Stephanie Rodriguez,79
Johnny Malone,50
Dr. Timothy Whitehead PhD,81
James Reilly,58
Kimberly Lopez,52
Peter Lindsey,93
Melanie Gonzales,71
Nicholas Harmon,84
Drew Bryant,68
Diana Wagner,70
James Cooper,95
Rhonda Parker,88
Annette Lucas,83
Dorothy Bruce,85
Kenneth Allen,53
William Jones,91
Christina Roberts,88
Mr. Gerald Ryan,82
Pamela Lewis,94
Krystal Jones,99
Michael Bond,81
Thomas Yu,86
Katherine Sullivan,94
Christine Ibarra,52
Carol Moore,77
Dana Farley,87
Paul Smith,86
Eric Williams,71
Christine Garcia,70
Anna Medina,96
Anne Cole,68
Robert Salazar,75
Robert James DDS,100
Nancy Nguyen,97
Lindsey Browning,53
Leslie Martin,53
Herbert Brown,92
William Ramirez,59
Justin Schneider,63
Corey Young,75
Vincent Hunt,63
Lindsey Horton,58
Christina Paul,68
Joseph Pratt,79
Lori Downs,94
John Hanson,56
Douglas Guzman,95
Ashley Thompson,61
Shane Villarreal,58
Diana Powell,87
Raven Clark,63
Kerry Hawkins,77
Ashley Cruz,100
Jeffrey Jones,66
Angela Beck,66
Jeff Johnson,96
Jacob Alvarez,55
Paul Russell,90
Walter Berry,94
Michelle Weber,79
Mike Clark,53
Victor Herrera,63
Catherine Bailey,100
James Miller,97
David Clarke,98
Mr. Roger Johnson PhD,85
Gina Butler,79
John Collins,72
Jason Salazar,51
Thomas Wagner,65
Ann Mendoza,78
Veronica Thompson,59
Stacy Buchanan,71
Martin Mendez,91
Gregory Shaw,74
Taylor Hoffman,74
Tiffany Anderson,95
Melissa Jenkins,93
Benjamin Casey,97
Michael Yang,69
Nicole Zimmerman,78
Mia Pearson,96
Joseph Thornton,61
Angel Parker,50
Brian House,69
Ryan Howard,68
Andrew Wood,54
John Perez,50
Theresa Miller,72
Cassidy Watson,64
Alicia Hernandez,66
David Mills,87
Michael Thomas,52
Earl Mullen,60
Janet Williams,90
Larry Bender,89
Krista Henderson,67
Donald Salas,85
Kristin Lewis,96
Joseph Kelly,93
Stephanie Green,61
Robert Jenkins,84
Diane Hart,98
Bryan Ballard,53
Regina Sherman,86
Tyler Davis,70
Travis Adams,51
Ann Adams,97
Sarah Glenn,87
Tammie Gomez,81
Andrew Carter,52
Erik Gonzalez,54
Robert Hull,76
Cynthia Rodriguez,70
Dr. Rachel Lewis,92
Jesus Becker,50
Cory Long Jr.,65
Kristin Lewis,52
Lisa Salazar,97
Joshua Smith,100
Randy Williams,71
Jennifer Roberts,60
Nathan Jones,71
Manuel Taylor,51
Eric Watson DVM,95
Bob Harrison,71
Robert Ellison,57
Brenda Roberts,72
Pamela Fisher,77
Jose Goodwin,77
Joseph Gamble,75
Patricia Wilson,88
Luke Wolfe,79
Aaron Scott,54
Louis Perez,55
Brian Lopez,59
David Nelson,63
Maureen Thornton,95
Lance Noble,68
Christopher Mitchell,100
Duane Acevedo,58
Phyllis Smith,90
Kim Rich,87
Nicole Gilbert,51
David Miller,58
Victor Johnson,88
Brittany Salinas,53
Lisa Roach,72
Amanda Watson,96
Robert Glenn,98
Ann George,81
Valerie Reyes,53
Aaron Jennings,95
Kevin Baker,54
Brian Martinez,78
Damon Adams,53
Katherine Mccall,60
Mark Chapman,98
William Martinez,66
Richard Rogers,77
Mr. Sean Alvarez PhD,77
Tyler Brown,72
Brendan Ramirez,66
Kathleen Lewis,56
Tammy Gilmore,56
Jeremy Peck,100
Thomas Snyder,76
Brooke Farrell,65
Cheryl Rogers,96
Martin Flores,85
Anne King,92
Robert Cooper,78
Bryan Johnston,74
James Burnett,56
Robyn Oneill,77
Bradley Cunningham,55
Jacob Arnold,94
William Webb,56
Lauren Jones,94
Samantha Bryan,56
Kathryn Olson,76
Brian Johnson,88
Bob Harris,89
Bruce Martin,80
Victoria Gregory,64
Amber Chapman,81
Courtney Mccormick,54
Kevin Rodriguez,62
Kristi Lee,55
Susan Kent,89
Samantha Lee,86
Robert Miller,76
Holly Fowler,97
Yesenia Oliver,100
April Matthews,79
Aaron Waters,62
Pamela Holmes,66
Christopher Patel,87
Monica West,71
Tyler Fernandez,96
Chad Johnson,100
Rachel Nelson,88
Robert Smith,59
Krista Jensen,54
Robert Morrow,54
William Patterson,89
Jennifer Kramer,73
Lindsey Williams,50
Margaret King,68
Victoria Diaz,65
Michael Cox,50
Chad Li,99
Elizabeth Joseph,96
Taylor Christian,73
Andrew Hardy Jr.,89
Patricia Hernandez,86
Phillip Watson,87
Molly Gallagher,71
Benjamin Guerra,56
Rebecca Brown,51
Collin Patton,76
Maria Caldwell,81
Ms. Crystal Adams DDS,91
Daniel Hart,70
Charles Rogers,57
Trevor Anderson,71
Lucas Ford,97
Sarah Green,61
Lori Whitaker,71
Wayne Lindsey,99
Donald Fernandez,64
Brian Warren,63
Bradley Miller,77
Zoe Evans,91
Heather Doyle,98
Christopher Fisher,56
Dan Davis Jr.,60
Hector Gonzales,84
Jesse Johnson,73
James Roth,54
Terri Ponce,92
Gina Sanchez,95
Cheryl Jones,90
Roberto Johnson,63
John Lee,74
Anthony Murray,78
Richard Ryan,95
Brian Palmer,75
Jason Rodriguez,71
Ashley Weber,59
Julia Walker,84
Corey Snyder,60
Ashley Montoya,65
Robin Lawrence,83
Joseph Marquez,100
Edward Salinas,83
Dorothy Arias,81
Jay Smith,59
Becky Parks,89
Kimberly Alexander,68
Andrew Hall,60
Michael Gibson,76
Patricia Burton,54
Sabrina Roberts,67
Tyler Arnold,53
Eugene Walker,78
Shelly Williams,82
Paula Powell,63
Brandon Hernandez,52
Joe Ross,56
Laura Ochoa,54
Jennifer Brennan,70
Brandon Miller,92
Rebecca Meyer,58
Thomas Dawson,64
Richard Higgins,79
Rhonda Dudley,73
Samantha Knight,73
David James,90
Mr. Daniel Kelly,51
Hannah Fitzgerald,69
John Harper,90
Lisa Ryan,50
Lisa Sanchez,94
Sheri Sparks,60
Timothy Galvan,50
Allison Dyer,65
Amanda Smith,97
Joyce Price,78
Richard Mcdonald,88
Alexis Galloway,51
Bradley Jordan,74
Jay Flowers,52
Kayla Turner,86
Dustin Wong,91
Jennifer Newman,99
Christopher Williams,77
Peter Sanchez,74
Lonnie Hall,67
Olivia Casey,78
Jenny Wood,55
Chelsea Holland,92
Melissa Davis,80
Matthew Vargas,62
Angela Tanner,92
Mary Hall,81
Sarah Stewart,72
Brandy Wood,93
Alicia Byrd,57
David King,54
Michelle Gardner,64
Scott Ray,52
Gerald Soto,54
Brian Smith,79
Robert Adams,51
Maureen Romero,96
Edward Rivers,88
Adam Thompson,60
Mark Anderson,84
John Taylor,87
Carrie Owens,95
Lance Carrillo,87
Brianna Cruz,67
Patricia Lawson,54
Nancy Rivera,52
Christina Huerta,69
Gwendolyn Young,68
Tracy Mathis,97
Sara Roberts,96
Jeffrey Anderson,92
Jeffrey Dyer,95
Ashley Brooks,100
Cynthia Baker,91
Sean Daniel,100
Pamela Anderson,79
Angela Johnson,72
Kevin Schroeder,79
Margaret Ruiz,78
Nicole Dickerson,79
Brian Hicks,99
Jonathan Johnson,79
Amanda Erickson,76
Shelly Bruce,55
Selena Reed,51
Jeffrey Duran,57
Angela Gaines,70
David Gomez,56
Andrew Yates,55
Amy Hamilton,85
Jaime Ryan,53
Anthony White,94
Michelle Baker,76
Timothy Reese,63
Tony Clark DVM,61
Natalie Knapp,73
William Taylor,97
Susan Jackson,91
Teresa Fisher,54
Tiffany Powers,95
Mr. Martin Guerrero,87
Michael Johnston,96
Christopher Acevedo,65
Elizabeth Valenzuela,70
Jeffrey Weber,61
Alexandra Flores,50
Christine Patel,64
Lauren Torres,58
Jillian Brooks,80
Christian Davidson,53
Juan Stevens,55
James Lin,59
Jessica Johnson,95
Terri Massey,67
Travis Adams,82
Lynn Davidson,58
Tammy Rodriguez,64
Joshua Smith,61
James Ramsey,69
Grace Park,59
Linda Bates,89
Alexandra Barnes,99
Phillip Moore,91
Tony Rodriguez,60
Kimberly Fernandez,75
Tasha Young,86
Thomas Ortiz,60
Brittany Andrews,73
Christopher Hill,73
Donna Wright,61
Wayne Morris,76
Brittany Owens,99
Javier Hill,99
Dr. Curtis Dominguez,52
Tammy Thompson DDS,68
Kelly Sanders,92
Jennifer Bryan,64
Sarah Long,72
Paul Garza,77
Brian Bradley,89
Jenna Henry,84
Gregory Gardner,68
Tammy Cochran,80
Sharon Campbell,68
Mary Weaver,87
Debra Taylor,73
Jessica Lara,57
Rachel Smith,70
Kelly Anderson,83
Donna Ferguson,80
Roger Carson,83
Jessica Norris,53
James Martin,90
Wayne Howell,91
Dana Jones,84
Tiffany Harrison,58
Roy Vasquez,57
Sierra Villegas,99
Micheal Arnold,51
Luis Jones,64
Eric Miller,73
Emily Hogan,67
Thomas Thomas,95
Amanda Liu,89
Christopher Schultz,92
Robert Larsen,69
Lori Mahoney,79
Joseph Miller,93
Melvin Wilson,88
Daniel Armstrong PhD,78
Elizabeth Tran,71
George Wallace,96
Marc Reynolds,79
Laura Smith,83
William Scott,91
Julia Holland,75
Andrea Butler,70
Amy Baker,62
Taylor Watts,66
John Barrera,84
Grace Rogers,66
Kimberly Lawrence,62
Darren Henderson,91
Whitney Nicholson,76
Amanda George,55
Kevin Klein MD,67
Alexa Gordon,80
Kelsey Martin,62
Vickie Hall,82
Elizabeth Flores,74
David Moore,98
Ashley Sanchez,94
Todd Morrow,77
Andrew Sharp,75
Eric Ramos,65
Wendy Guerrero,89
Timothy Hall,53
Rebecca Murphy,97
Christine Henderson,79
William Mccullough,71
Dennis Jimenez,66
Jesse Armstrong,61
Christine Chang,91
Richard Delgado,65
Christian Black,59
Glenn Bennett,60
Robin Ferrell,63
Noah Johnson,70
Clarence Tran,75
Nicholas Castro,83
Sandra Gray,62
Larry Hendricks,64
Kara Nelson,92
Kimberly Andrade,72
Joseph Yates,56
Mike Martin,67
Katelyn Mack,67
Kimberly Murphy,76
Craig Hebert,85
Brenda Miller,88
Michelle Patterson,65
Matthew Fernandez,88
Tammy Wade,86
James Hoover,99
Desiree Frazier,64
Nathan Kelly,66
Denise Hart,60
Cheyenne Butler,68
Mark Kramer,79
Karen Edwards,91
Rose Erickson,80
Derrick Perez,59
Michael Ross,77
Brian Hawkins,59
Margaret Gray,81
Vincent Roberts,87
David Stewart,75
Laurie Gray,100
Arthur Weiss,66
Jodi Douglas,75
Adam Todd,87
Edwin Kennedy,66
Anthony Evans,81
Douglas Wells,72
Angelica Huerta,100
James Lin,76
Courtney Perez,100
Amber Sanchez,89
Joan Stanley,60
Jessica Williams,59
Sarah Mack,95
Michael Adams,75
Dr. Kirsten Fisher,73
Daniel Morgan,77
James Parks,62
Vickie Moore,86
Jorge Yoder,78
Robert Johnson,97
Suzanne Wu,83
Alan Johnson,84
Kim Figueroa,70
Crystal Miller,86
Scott Paul,51
Kristen Montgomery,91
Matthew Poole,57
William Jones,95
Danielle Schmidt,91
Terry Herrera,76
Jeffrey Preston,91
Deborah Castillo,51
Gail Young,68
Sonya Ortiz,71
Robert Williamson,58
Lisa Davis,94
Charles Trujillo,53
Edward Smith,52
Robert Combs,72
Luke Marquez,93
Dana Roberts,100
Tamara Robertson,73
Lisa Morrow,67
Ronnie Weaver,56
Joshua Jackson,67
Courtney Taylor,55
Anthony Gonzalez,96
Antonio Huynh,66
Janice Jones,86
Jessica Ferguson,85
Elizabeth Wells,79
Dr. Christopher Richardson DDS,73
Steven Patel,91
Mrs. Michelle Ferguson,81
Jesse Bell,72
Kenneth Smith,79
Kimberly Blackwell,69
Nicholas David,84
Kathleen Sanchez,67
Cassandra Cook,81
Michael Hill,97
Ashley Wade,100
Mark Melendez,57
Jeremy Jensen,96
Jenna Perkins,92
Jose Smith,62
Kathryn Adams,83
Anna Booth,55
Daniel Myers,59
Luis Rojas,71
Darrell Jordan,67
Brett Miller,96
Bradley Saunders,86
Shannon Thomas,74
Margaret Lopez,94
Kenneth Hale,51
Roy Lang,62
Christopher Elliott,97
Tara Mckinney,58
Kristen Pruitt,93
Kerry Vasquez,78
Jeremy Matthews,85
Kimberly Malone,72
Shelly Moses,89
Carlos Chavez,64
Keith Santos,90
Angela Day,85
Amy Nguyen,83
Linda Smith,55
Jesse Mullen,55
Martha Wood,54
Richard Walker,74
Robert Watkins,95
Nicholas Jensen,93
Austin Gordon,88
Ronald Jackson,88
Christine Bell,63
Kevin Johnson,68
Michelle Singh,50
Katrina Miller,68
Paula Maxwell,82
Rebekah Anderson,59
Nicholas Hebert,95
Jessica Vazquez,67
Jesse Garcia,54
Richard Patterson,56
Sara Spencer,77
Melissa Zamora,78
Amy Velez,78
Zachary Franco,76
Dr. Tony Murphy,66
Lisa Stone,79
Ms. Tina Oneill,86
Sydney Mcdaniel,59
Mrs. Kathy Bowman,61
Eric Bowers,83
Lauren Brown,71
Frank Watts,88
Robert Woods,63
Emily Cruz,54
Carol Edwards,64
Edward Reeves,97
Rhonda Oconnell,50
James Parker,86
Mrs. Heather Welch,73
Phillip Villarreal,89
Timothy Walters,96
Grant Daniels,52
Matthew Martin,89
Lori Brooks,96
Seth Scott,88
John Kent,62
Jason Lopez,97
Ryan Grimes,99
Stacy Hanson,53
Caitlin Stevens,66
Jennifer Hess,72
Richard Hernandez,89
Joshua Zamora,71
Zachary White,73
Jennifer White,60
Donna Hernandez,78
David Oneal,50
Karen Shepard,65
Erik Cox,62
Timothy Black,65
Timothy Mcdonald,84
Aaron Galvan,68
Aaron Riley,84
Eric Wright,71
Mike Alvarez,94
Erika Lozano,86
Caroline Boyd,78
Willie Duncan,88
Rachel Soto,85
Melissa Estes,58
Mr. Justin Gonzalez III,78
Mrs. Amanda Palmer,94
Gary Hendricks,66
Sarah Montoya,71
Michelle Carter,81
Monica Sanders,56
Tara Roberts,80
Trevor Lowery,51
Earl Perez,87
Zachary Leon,89
Erin Clarke,78
Nicole Jordan,78
Mason Hickman,68
Timothy Joyce,80
Sheila Perkins,93
Daniel Ramirez,71
Jade Mcclure,89
Amber Palmer DDS,97
Angela Briggs,83
Penny York,52
Kaitlyn Holt,63
Matthew Lee,67
Nichole Perez,81
Isaiah Evans,87
Thomas Stone,83
Joanne Hartman,53
Brian Lindsey,50
Mary Duffy,88
Justin Gill,50
Misty Warren,86
Eddie Andrews,89
Kelly Thomas,69
Brittany Daniels,62
Pamela Moore,81
Dalton Villanueva,86
Richard Wood,91
Dakota Goodman,68
James Gray,71
Lisa Carpenter,63
Darin Thompson,50
Miss Diane Hooper,87
Adam Mclaughlin,55
Melissa Walker,59
Daniel Nunez,68
Holly Coleman,100
Alicia Miles,90
Ryan Wolfe,91
Mr. Joshua Salazar Jr.,53
Lacey Gray,84
Karen Carey,57
Joseph Welch,78
Todd Rivera,89
Vicki Wyatt,78
Jeremy Jackson,89
Miss Jacqueline Fleming,86
Robert Wilson,79
Tamara Anderson,83
James Hopkins,53
Jessica Hayes,72
Allison Anderson,58
Benjamin Martin,76
Maria Thomas,73
Dominic Livingston,87
Sean Garner,63
Patricia Rocha,90
Brittany Johnson,67
Ethan Williams,78
Robert Martin,85
Melissa George,95
Kimberly Bowman,82
Michael Blake,97
Rebecca Allison,57
Raven Blair,74
Matthew Serrano,62
Lance Flores,85
Charles Simpson,62
Taylor Edwards,55
Ruben Smith,81
Crystal Garcia,87
Christine Stewart,70
Lisa Mckay,87
William Brown,99
Michele Andrews,61
Gerald Ramsey,99
John Diaz,88
Elizabeth Murphy,89
Lori Bates,78
Jennifer Hendricks,89
Sheila Jackson,95
Angela Phillips,86
Jeremy Hunt,94
Laura Mccormick,55
Steven Ross,78
Tiffany Parrish,71
Robert Holt,78
Michelle Zimmerman,74
Tyler Dickerson,59
Mr. Ernest Smith,98
Caleb Williamson,99
Eddie Gonzalez,69
Katherine Alvarez,63
Clayton Allen,61
Holly Hamilton,72
Kendra Smith,82
Mr. Gregory Adkins MD,70
Stephanie Mitchell,64
April Webb,100
Carl Jackson,55
Kayla Massey,76
Kathy Allen,64
Tanya Wood,97
Eugene Dickson,76
Lisa Higgins,97
Melissa Arnold,51
Mary Black,78
Michelle Gutierrez,50
William Curtis,93
Margaret Fowler,75
John Ball,97
James Thompson,51
Amanda Robles,75
Lisa Watson,99
Megan Farrell,63
Marie Morales,55
Marilyn Martinez,57
Mary Adams,55
Marc Bentley,68
James Day,51
Jeffrey Reyes,63
John Lopez,78
Kenneth Smith,63
Gerald Byrd,80
Jordan Dyer,75
Donna Castillo,87
Robert Crane,67
Alex Cameron,68
Austin Long,80
Michael Barnes,97
Sara Dodson,52
Richard Douglas,80
Dale Lee,98
Tristan Decker,86
Donna White,73
Emily Murphy,97
Pamela Gonzalez,84
Scott Williams,96
Donna Smith,78
Mary Watkins,84
Sonia Hampton,97
Stephanie Weaver,86
Raymond Soto,73
Kathryn Tran,57
Nathan Mcdowell,76
Dr. Nancy Walter,96
Joshua Reese,91
Martin Cantu,75
David Smith,51
Dr. Sherry Mahoney,71
Debra Garcia,76
Dr. Stephanie Garcia,53
Pamela Khan,72
Tricia Knight,86
Ashley Brown,64
Carol Bradford,92
Laura Franco DVM,83
James Lopez,63
Amber Gutierrez,73
Eric Williams,60
Bobby Fisher,64
Mrs. Taylor Kaiser,59
Katherine Hernandez,95
Christopher Rosales,80
Rebecca Hebert,51
Shannon Stafford,86
Toni Noble,94
Courtney Hughes,71
Kristen Alexander,91
Jacob Brown,52
Daisy Carroll,100
Terri Armstrong,59
Aaron Roberson,86
Pamela Henderson,69
John Rasmussen,76
Ryan Myers,56
Kevin Williams,54
Rachel Martinez,79
Karen Thompson,95
Mary Miller,84
Christopher Gomez,89
Douglas Whitehead,62
Rachel Hoffman,84
William Barnes,54
Marie Johnson,58
Kyle Johnson,87
Susan Davila,75
Jennifer Jones,73
Andrea Medina,62
Ryan Mitchell,88
Sean Russell,84
Christine Salazar DDS,99
Lynn Ortiz,99
Angela Johnson,88
Timothy Brown,52
Betty Smith,59
Charles Peterson,58
Alex Kennedy,94
Darrell Cummings,62
Alyssa Walter,55
Michaela Moore,74
Donald Rodriguez,51
Dennis Allen,96
Nicholas Newman,53
Dustin Jones,74
Juan Ali,63
Paige Tapia,57
Joseph Turner,69
Jacqueline Douglas,66
Martin Morales,57
Susan Knight,57
John Ramirez,84
Linda Nichols,60
Adam Sellers,82
Bobby Thompson,70
Michael Curtis,58
Craig Hamilton,71
Timothy Hill,89
Kendra Fuentes,99
William Christian,90
Alyssa Robinson,59
Jeremy Garza,89
Nicholas Gutierrez,97
Thomas Cooper,85
Jesus Morris,72
Marisa Allen,65
Alexandria Johnson,91
Daniel Harris,79
Jeffrey Johnson,56
Tyler Brown,95
Monica Rodriguez,87
Luis Nguyen,65
Breanna Scott,98
John Jackson,90
Lisa Graves,76
Robert Wagner,77
Ann Hogan,52
Linda Bryant,53
Michelle Donovan,63
Jeremy Hill,53
Sandra Neal,58
Mrs. Wendy Scott,56
Cassandra Mayer,82
Megan Henderson,96
Ashley Brown,67
Anna Ward,90
Jordan Lopez,69
Tammy Palmer,53
Derek Martinez,92
Kenneth Burgess,85
Logan Church,54
Thomas Jefferson,64
Mrs. Sarah Brooks DVM,73
Sean Phillips,78
Juan Charles,58
Jennifer Leblanc,72
Victor Owen,53
Elizabeth Jones,64
Jessica Brown,86
William Lewis,80
Marvin Wheeler,77
Timothy Martinez,56
Andrew Bennett,55
Anthony Richard,86
Denise Taylor,59
Michelle Cross,82
Kristen Reynolds,75
Ian Chavez,63
Melissa Gordon,69
Holly Carter,98
Nathan Burke,82
Elizabeth Buck,73
Cassandra Butler,85
Susan Lopez,94
Jasmine Watts,74
Larry Doyle,90
Rebecca Zimmerman,63
Dustin Martinez,93
Todd Davis,57
Michael White,52
Andrea Decker,51
Matthew Williams,77
Diamond Ingram,83
Kayla Wilson,59
Marc Cross,85
Crystal Blankenship,89
Michael Black,98
Brooke Jensen,61
Lisa Shields,51
Matthew Curry,68
Kelsey Daniels,80
Ronald Ellis,92
Randy Stevens,62
Brent Watson,57
Daniel Morris,93
Joseph Williams,80
John Parker,80
Tyler Ross,68
Lisa Nguyen,90
Desiree Lewis,61
Sarah King,72
Bradley Curry,68
Samuel Mendez,52
Olivia Valdez,63
Anthony Odonnell,65
Brianna Jones,71
Mrs. Karla Gibson DDS,76
Rachael Franklin,87
Jeremiah Lopez,88
Barbara Stevenson,54
Corey James,91
James Smith,96
Julie Smith,75
Cynthia Hutchinson,60
April Lee,70
Christopher Fletcher,51
John Shaw,56
Evelyn Hinton,51
Raymond Hernandez,64
